"doc_id","AB","TI","DE","PY","DI"
"REN T, 2023, TECHNOL SOC","The integration of digital technologies and processes presents a multifaceted and complex challenge for family firms, as they must navigate new technologies while maintaining their unique familial attribute. Moreover, the issue of intergenerational inheritance adds an additional layer of complexity, as succession must be effectively executed to ensure the continued success and survival of the family firm in the digital age. Together, these challenges pose a significant threat to the sustainability and competitiveness of family firms. To gain a deeper understanding of how these challenges can be effectively addressed, the study utilizes data from the 2016 Chinese Private Enterprises Survey to identify the factors influencing family firms' digital transformation and the role of entrepreneurs' characteristics in this process. From the perspective of intergenerational inheritance, the study finds that both the willingness of entrepreneurs to hand over power and the willingness of their children to take over firm power have a moderating effect on the relationships between entrepreneurs' characteristics and firms’ digital transformations. This study also verifies the heterogeneous effects from the type of business digitalization, location of the firm, and educational level of the children. © 2023 Elsevier Ltd","Intergenerational dynamics of digital transformation in family firms","Digital transformation; Family firms; Intergenerational inheritance; Willingness",2023,"10.1016/j.techsoc.2023.102261"
"HUANG J, 2025, PLOS ONE","Green innovation is essential for sustainable development, especially in China’s Specialized-Refined-Differentiated-Innovative (SRDI) enterprises. Family-owned SRDI firms, in particular, have attracted attention due to their de-familization strategies and their influence on green innovation. Our study analyzes panel data from 2016 to 2021 for listed SRDI family firms to investigate how de-familization in management rights and ownership impacts green innovation. Using socio-emotional wealth (SEW) theory and a fixed-effects model, we find that de-familization significantly negatively affects green innovation, with corporate governance serving as a mediating factor. Digital transformation moderates these negative effects, while market concentration exacerbates them. These impacts are more pronounced in firms before being designated as ""Little Giants,"" those receiving higher government subsidies, those located in eastern regions, or those not classified as major polluters. This research provides actionable insights for SRDI family firms to strategically manage de-familization, optimize resource allocation, implement customized governance strategies, and promote sustainable growth. © 2025 Huang et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.","The impact of de-familization on green innovation: Evidence from SRDI family firms in China","",2025,"10.1371/journal.pone.0314110"
"ATIENZA-BARBA M, 2025, J FAM BUS MANAG","Purpose: This study aims to analyse the literature on the digital transformation of family businesses and the impact of artificial intelligence on this process, highlighting key areas of interest and future perspectives. Design/methodology/approach: A bibliometric analysis is performed to explore the interconnection between variables and the relationships between authors, countries and journals in this research area. The Scopus database was used as of March 2024, and the data analysis was carried out with Bibliometrix for result analysis and VOSviewer for scientific mapping. Findings: The analysis confirms the increasing relevance of the topic, with a high number of articles in 2023. Prominent journals are identified, and authors are mainly from China and Europe. Keywords “family business” and “family firms” are strongly linked, showing a connection to artificial intelligence and digital transformation. Family businesses are embracing the digital era, and research must respond accordingly. Originality/value: This pioneering study offers a novel contribution, as no prior bibliometric analysis has addressed this topic. It lays the groundwork for future research, identifying emerging themes with significant future potential. © 2024, María Atienza-Barba, José Álvarez-García, Ángel Meseguer-Martínez and Virginia Barba-Sánchez.","The family business in the digital era: advancing towards artificial intelligence","Artificial intelligence; Bibliometric analysis; Bibliometrix y VOSviewer; Digital transformation; Digitisation; Family business; Family firms",2025,"10.1108/JFBM-09-2024-0215"
"ROTH S, 2024, J FAM BUS MANAG","Purpose: This perspective article provides an overview of current research on paradoxes within family business settings and outlines emerging trends and potential avenues for future research in this field. Design/methodology/approach: This article is inspired by a systems-theoretical approach to business family paradoxes. Findings: The article suggests that increasing research interest in more-than and neither-nor approaches to paradox could propel the digital transformation of paradox theory and facilitate the strategic management of family business paradoxes in multi-stakeholder environments. Originality/value: This article synthesises the state of the arts in the field of research on family business paradoxes and proposes future research agendas. © 2023, Emerald Publishing Limited.","Paradox and family business: a perspective article","Digital transformation; Family business; Paradox; Stakeholder management; Tetralemma",2024,"10.1108/JFBM-07-2023-0101"
"TIRDASARI NL, 2026, J INT COUNC SMALL BUS","The purpose of this study is to identify the factors contributing to the challenges of digital adoption within the family business in Indonesia. This study employs a qualitative approach, utilizing semistructured interviews with 13 family businesses. NVivo facilitated thematic analysis to identify emergent themes within the interview data. Cultural and attitudinal barriers, resource constraints, technological hurdles, and regulatory and security concerns were identified as the four primary challenges to digital adoption within Indonesian family businesses through the analysis. Specifically, talent shortage emerged as the primary challenge to digital adoption within their family businesses. This study identifies the complex roadblocks to digitalization in Indonesian family-owned businesses. These findings hold value for both practitioners and policy makers. Family businesses can utilize this knowledge to craft effective strategies for a smooth digital transformation journey. Policy makers can leverage these insights to develop targeted regulations and support structures that foster digital adoption within this crucial sector. © 2025 International Council for Small Business.","Exploring challenges of digital adoption in family business","digital adoption; Digitalization; family business; qualitative approach; thematic analysis",2026,"10.1080/26437015.2025.2469252"
"BARILE D, 2024, EUR J INNOV MANAGE","Purpose: Within food industry several changes and innovations are affecting the management of the entire supply chain (production, logistics, etc.). As strategy for the survival and competition, digitalization has assumed a crucial role during the pandemic emergence by causing the reconfiguration of traditional chains and business models. Framed in these premises, the research analyses how digital technologies have innovated the sub-chains of bakery products and pasta within food industry with reference to customers' interactions, delivery and marketing during the COVID-19 pandemic emergence. Design/methodology/approach: Moving from a critical literature review about the perspectives of digital technologies within the tradition of food industry, action research has been adopted to analyze in deep a case study of the start-up “ArteBianca Delivery” located in South Italy. Through this method, researchers have been deeply involved within the start-up to face the challenge of transforming the marketing and customer care into digital ones due to the COVID-19 restriction. Findings: Findings provide empirical evidence about the reconfiguration of the traditional business model of a family firm in the food sector into a digital one with the start-up “ArteBianca Delivery”. The marketing, delivery, e-commerce and customer care components of the business models have been supported and enhanced through the adoption of digital tools, such as mobile applications and social technologies useful both for users and for a more urgent digitization of company. Practical implications: Implications for practice can be identified into the pattern of digital transformation implemented as well as in the opportunity of replication and contextualization of the results to other companies looking for setting up a digital strategy. Originality/value: Elements of original contribution can be identified into: (1) the exploration of digital transformation in food family firms caused by the pandemic emergence, (2) the contextualization of the digital transformation to the sub-chains of bakery and pasta and (3) the geographical location of the case. © 2022, Emerald Publishing Limited.","Food 4.0 for competing during the COVID-19 pandemic: experimenting digitalization in family firms","Action research; Digital marketing; Digital transformation; Family firm; Food 4.0",2024,"10.1108/EJIM-07-2022-0373"
"HE Q, 2024, INT ENTREP MANAGE J","It is crucial to investigate the characteristics of digital transformation strategy decision-making in family businesses. In this paper, the Chinese A-share listed family enterprises on the Shanghai and Shenzhen stock markets from 2008 to 2020 are used as a sample to analyze at how the CEO source affects the enterprises’ digital transformation and how the CEO ability and family willingness affect the boundary conditions of the decision-making. According to the findings of the study, family CEOs are more capable of promoting the digital transformation of family businesses. Whether it is general human capital obtained through formal education or firm-specific human capital obtained through work experience, they all positively moderate the relationship between family CEOs and enterprises’ digital transformation decisions. Surprisingly, family control and influence have no moderating effect, which may be due to the superimposition of the willingness to pursue growth, whereas the willingness to pursue transgenerational sustainability is a negative moderator, indicating that family businesses in China are still in the early stages of succession. This study not only uncovers the disparities in the impacts of different types of CEOs on the digital transformation of family businesses, but also provides empirical evidence and managerial implications for fostering the family businesses’ digital transformation. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.","Can family CEOs promote enterprises’ digital transformation? An analysis based on ability-willingness paradox","Digital transformation; Family CEOs; Family willingness; Human capital",2024,"10.1007/s11365-023-00941-7"
"CUCCULELLI M, 2022, J TECHNOL TRANSF","We examine whether the probability of innovating a company’s business model towards the Industry 4.0 paradigm is affected by external institutional support and family leadership. Industry 4.0 is the information-intensive transformation of global manufacturing enabled by Internet technologies aimed at reinventing products and services from design and engineering to manufacturing. Using a sample of 3000 firms from a corporate survey on the manufacturing industry in Italy, our results showed that family leadership has a significant positive influence on the adoption of Industry 4.0 business models, but only in terms of family ownership. By contrast, family management has a negative influence on the probability of adopting a new business model. However, this negative influence is almost totally offset by the presence of the Triple Helix, i.e. the external support by public institutions and universities, which counterbalances the lower propensity of family managers to adopt Industry 4.0 business models. This supporting role only occurs when institutions and universities act together. © 2021, The Author(s).","Filling the void of family leadership: institutional support to business model changes in the Italian Industry 4.0 experience","Business model; D22; Family firms; Family management; Family ownership; G39; Industry 4.0; L52; O38; Triple helix",2022,"10.1007/s10961-021-09847-4"
"PÖSCHL A, 2020, INT J INF SYST PROJ MANAG","Digitalization in small-and medium-sized (SME) family firms and processes of family-external business succession within these firms are under-researched areas. As SME and their future viability are important for many economies around the world, we aim to study the effects of succession processes on those companies’ digitalization activities. Utilizing a unique data set comprising of around 340 pages of transcribed interviews within a multiple case study involving four family firms in the DACH region of Europe, we perform exploratory research of this matter. Our findings indicate that incumbent and new owner-managers focus on efficiency-related digitalization activities during succession processes. More long-term issues such as changes to business models or the exploitation of external opportunities through digitalization are underrated and postponed. Our findings contribute to both digitalization and family firm literature and we provide suggestions for future research in this regard. © 2020, SciKA.","The impact of family-external business succession on digitalization: Exploring management buy-ins","Digital transformation; Digitalization; Entrepreneurship theory; Family business succession; Management buy-in",2020,"10.12821/ijispm080202"
"KAZANCOGLU Y, 2021, TECHNOL FORECAST SOC CHANGE","Technological innovations are critical for businesses to sustain a competitive advantage in an increasingly competitive globalised environment. Amongst other advances, Industry 4.0 (I4.0) technologies are having a growing impact on society; they have become a significant part of family business resources to create more sustainable environments and exploit new opportunities. However, few studies have analysed the impacts of I4.0 on responsible environmental management and society in the context of a family business. To take a step toward filling this gap, this study has employed a system dynamics model to evaluate the impacts of I4.0 on the clean production processes of family businesses in an emerging economy and to describe I4.0 practices on determinants of ethical behaviour and environmental management. Implementation is conducted in the packaging sector to analyse the impacts of I4.0 on CO2 emissions, total packaging waste recovery and societal responsibilities on family businesses in Turkey. The results show that ethical business development contributes toward enhancing corporate social responsibility and environmental management systems in an I4.0 context. The findings can inform the efforts of managers, governments and decision-makers to analyse and manage the societal and environmental impacts of their activities to create a more sustainable environment for family businesses. © 2021","Industry 4.0 impacts on responsible environmental and societal management in the family business","Circular economy; Environmental business; Industry 4.0; Societal change; Sustainable production; System dynamics",2021,"10.1016/j.techfore.2021.121108"
